Term,Category
REGEXP_MATCHES,IT
REGEXP_REPLACE,IT
REGEXP_SPLIT_TO_ARRAY,IT
register allocation,IT
register file,IT
registry run keys,IT
regression test,IT
regression testing,IT
regular expression,IT
regularization,IT
reinforced concrete beam,Architecture
reinforced concrete column,Architecture
reinforced concrete connection,Architecture
reinforced concrete core,Architecture
reinforced concrete footing,Architecture
reinforced concrete foundation,Architecture
reinforced concrete frame,Architecture
reinforced concrete girder,Architecture
reinforced concrete joint,Architecture
reinforced concrete pile,Architecture
reinforced concrete slab,Architecture
reinforced concrete stair,Architecture
reinforced concrete truss,Architecture
reinforced concrete wall,Architecture
reinforced soil,Architecture
reinforcement,Architecture
reinforcement cover,Architecture
reinforcement learning,IT
reinforcing steel,Architecture
relational algebra,IT
relational calculus,IT
relational model,IT
relative compaction,Architecture
release consistency,IT
release management,IT
reliability,IT
reliability growth model,IT
remote attestation,IT
remote code execution,IT
remote file inclusion,IT
render,Architecture
render view,Architecture
renewal process,IT
renice,IT
rent-to-own analysis,IT
repeatable read,IT
REPLACE,IT
replica set,IT
replication,IT
repository pattern,IT
request for proposal,IT
Request Header Fields Too Large,IT
Request Timeout,IT
requirements elicitation,IT
requirements engineering,IT
requirements engineering (discipline),IT
requirements traceability matrix,IT
requirements validation,IT
resection,Architecture
reservoir sampling,IT
Reset Content,IT
reshoring,Architecture
residual soil,Architecture
resonance,Architecture
resource allocation,Architecture
resource contention,IT
resource description framework,IT
resource limit,IT
respirator,Architecture
REST,IT
restore,IT
retaining wall,Architecture
retarder,Architecture
retention policy,IT
retry policy,IT
retry with backoff,IT
Retry-After,IT
return on investment,IT
return stack buffer,IT
return-oriented programming,IT
RETURNING,IT
reverse proxy,IT
revision cloud,Architecture
revision note,Architecture
revision number,Architecture
REVOKE,IT
RFC 2119,IT
RFC 3986,IT
RFC 7230,IT
RFC 8446,IT
ribbed slab,Architecture
Ricart–Agrawala algorithm,IT
ridge regression,IT
RIGHT JOIN,IT
rigid frame,Architecture
rigid insulation,Architecture
rigidity,Architecture
ring buffer,IT
ring signature,IT
RIP,IT
RIPEMD-160,IT
risk analysis,IT
risk appetite,IT
risk assessment,Both
risk management,IT
risk matrix,IT
risk register,IT
risk tolerance,IT
rm,IT
rmdir,IT
road plate,Architecture
roadmap,IT
robotic process automation,IT
robotics,IT
rock,Architecture
rod reading,Architecture
ROLAP,IT
role-based access control,IT
rollback,IT
rollback plan,IT
roller,Architecture
roller shutter,Architecture
rollforward,IT
rolling update,IT
roof beam,Architecture
roof drain,Architecture
roof plan,Architecture
roof slab,Architecture
roof tank,Architecture
roof tile,Architecture
roof wall,Architecture
room schedule,Architecture
room tag,Architecture
root cause analysis,IT
rootkit,IT
rope,IT
rotary hammer,Architecture
ROUND,IT
round-robin scheduling,IT
rounding mode,IT
route filtering,IT
route redistribution,IT
route survey,Architecture
routing algorithm,IT
row buffer,IT
row-level lock,IT
row-level security,IT
row-oriented storage,IT
RPAD,IT
RPC,IT
RPO,IT
RSA,IT
RSTP,IT
RSVP,IT
rsync,IT
RTK surveying,Architecture
RTO,IT
RTP,IT
RTRIM,IT
RTSP,IT
rubber flooring,Architecture
Ruby,IT
rule tuning,IT
rule-based optimizer,IT
run-length encoding,IT
runtime verification,IT
Rust,IT
S-trap,Architecture
SaaS,IT
safepoint,IT
safety belt,Architecture
safety boot,Architecture
safety glasses,Architecture
safety harness,Architecture
safety helmet,Architecture
safety net,Architecture
safety officer,Architecture
safety property,IT
saga choreography,IT
saga orchestration,IT
saga pattern,IT
salt,IT
salted hash,IT
SaltStack,IT
SameSite,IT
SAML,IT
sampling,IT
sampling strategy,IT
sampling theorem,IT
sand,Architecture
sandbox,IT
sandbox evasion,IT
sandboxing,IT
sandstone,Architecture
sargable predicate,IT
SAS,IT
SAT solver,IT
SATA,IT
saturated surface dry,Architecture
saturation,IT
savepoint,IT
sawcut joint,Architecture
sbrk,IT
SBT,IT
SCADA,IT
scaffold,Architecture
scaffolding,Architecture
scaffolds,Architecture
Scala,IT
scalability,IT
scalar,IT
scale bar,Architecture
scale factor,Architecture
scatter–gather I/O,IT
schedulability analysis,IT
scheduled task persistence,IT
scheduler,Both
schedulers,IT
scheduling class,IT
schema,IT
schema evolution,IT
schema matching,IT
schema migration,IT
Scheme,IT
Schnorr identification,IT
Schnorr signature,IT
SCIM,IT
scp,IT
screed,Architecture
screeding,Architecture
screen,IT
screw jack,Architecture
scrypt,IT
SCTP,IT
sealant,Architecture
seccomp,IT
second normal form,IT
secondary beam,Architecture
secondary compression,Architecture
secp256k1,IT
secret,IT
secret sharing,IT
section,Architecture
section arrow,Architecture
section box,Architecture
section mark,Architecture
sectional door,Architecture
secure boot,IT
secure coding standard,IT
secure configuration,IT
secure enclave,IT
secure multiparty computation,IT
security,IT
security audit,IT
security baseline,IT
security control,IT
security guideline,IT
security monitoring,IT
security operations center,IT
security policy,IT
security standard,IT
sed,IT
See Other,IT
seepage,Architecture
segment tree,IT
segmentation,IT
segregation,Architecture
seismic load,Architecture
select,IT
selection sort,IT
selective acknowledgment,IT
selectivity,IT
self join,IT
self-compacting concrete,Architecture
semantic versioning,IT
semaphore,IT
semi join,IT
semiconductor,IT
send,IT
sendto,IT
separate chaining,IT
separation of concerns,IT
separation of duties,IT
septic tank,Architecture
seqlock,IT
sequence,IT
sequence diagram,IT
sequential consistency,IT
sequential logic,IT
serial,IT
serial communication,IT
serial schedule,IT
serializability,IT
serializable,IT
serializable snapshot isolation,IT
serialization,IT
Server,IT
serverless,IT
serverless architecture,IT
service,IT
service blueprint,IT
service catalog,IT
service continuity,IT
service desk,IT
service discovery,IT
service health check,IT
service level agreement,IT
service level indicator,IT
service level objective,IT
service management,IT
service mesh,IT
service provider,IT
service reliability,IT
service saturation,IT
Service Unavailable,IT
service-level objective,IT
service-oriented architecture,IT
serviceability limit state,Architecture
session consistency,IT
session guarantee,IT
session hijacking,IT
session layer,IT
session token,IT
set theory,IT
Set-Cookie,IT
setsockopt,IT
setting out,Architecture
settlement,Architecture
sewer,Architecture
sFlow,IT
SFTP,IT
SHA-256,IT
SHA-3,IT
Shamir secret sharing,IT
Shannon capacity,IT
shape analysis,IT
shaping,IT
shard rebalancing,IT
sharding,IT
shared library,IT
shared lock,IT
shared memory,IT
shear beam,Architecture
shear key,Architecture
shear modulus,Architecture
shear slab,Architecture
shear strength,Architecture
shear wall,Architecture
sheepsfoot roller,Architecture
sheet pile,Architecture
sheet set,Architecture
sheeting,Architecture
shellcode,IT
shingle,Architecture
shop drawing,Architecture
shoring,Architecture
shoring frame,Architecture
shoring system,Architecture
short column,Architecture
short-circuit evaluation,IT
shortest path,IT
shovel,Architecture
shrinkage,Architecture
shrinkage limit,Architecture
shrinkage reducer,Architecture
shutdown,IT
shuttering,Architecture
side effect,IT
sidecar proxy,IT
sidewall sprinkler,Architecture
SIEM,IT
sieve analysis,Architecture
Sigma rule,IT
signal,IT
signalman,Architecture
signature-based detection,IT
silicone sealant,Architecture
silt,Architecture
SIMD,IT
SimHash,IT
simply supported beam,Architecture
Simulated annealing,IT
single responsibility,IT
single responsibility principle,IT
single sign-on,IT
singleton,IT
singleton pattern,IT
singly linked list,IT
singular value decomposition,IT
singular value decomposition (ML),IT
SIP,IT
SIPOC diagram,IT
site benchmark,Architecture
site canteen,Architecture
site diary,Architecture
site engineer,Architecture
site hoarding,Architecture
site instruction,Architecture
site investigation,Architecture
site layout,Architecture
site mixer,Architecture
site office,Architecture
site plan,Architecture
site reliability engineering,IT
site supervisor,Architecture
sixth normal form,IT
sketching algorithm,IT
skew,IT
skew heap,IT
ski rental problem,IT
skid-steer loader,Architecture
skim coat,Architecture
skip list,IT
skirting board,Architecture
SLA,IT
slab,Architecture
slab backfilling,Architecture
slab compacting,Architecture
slab curing,Architecture
slab detail,Architecture
slab layout,Architecture
slab placing,Architecture
slab pouring,Architecture
slab schedule,Architecture
slab stripping,Architecture
slabs,Architecture
slate,Architecture
sledgehammer,Architecture
sleeve,Architecture
slender column,Architecture
SLI,IT
slip surface,Architecture
SLO,IT
slope distance,Architecture
slope stability,Architecture
slope staking,Architecture
slow start,IT
slowly changing dimension,IT
slump,Architecture
slump cone,Architecture
slump test,Architecture
smallint,IT
Smalltalk,IT
smart card,IT
smishing,IT
smoke damper,Architecture
smoke detector,Architecture
smoke test,IT
smoke testing,IT
smooth drum roller,Architecture
Smoothed analysis,IT
SMT solver,IT
SMTP,IT
SMTP relay,IT
snag list,Architecture
snap,Architecture
snappy compression,IT
snapshot,IT
snapshot algorithm,IT
snapshot isolation,IT
snapshot testing,IT
SNMP,IT
snoopy cache,IT
Snort rule,IT
snow load,Architecture
snowflake schema,IT
SOAP,IT
SOAR,IT
SOC,IT
socket,IT
socket outlet,Architecture
software architecture,IT
software bill of materials,IT
software engineering,IT
software metric,IT
software pipelining,IT
software quality,IT
software requirements specification,IT
software testing (discipline),IT
soil,Architecture
soil nail,Architecture
soil pipe,Architecture
solid brick,Architecture
solid-state drive,IT
solution architecture,IT
sort,IT
sounder,Architecture
source,IT
source coding theorem,IT
SOX compliance,IT
space truss,Architecture
spacer,Architecture
spade,Architecture
span id,IT
SPAN port,IT
spandrel beam,Architecture
spandrel panel,Architecture
spanning tree protocol,IT
Spark,IT
SPARQL,IT
spatial database,IT
spawn,IT
SPB,IT
spear phishing,IT
specific gravity,Architecture
specification,IT
specification pattern,IT
spectral graph theory,IT
speculative execution,IT
speed square,Architecture
speedup,IT
SPF (email),IT
spherical bearing,Architecture
spinlock,IT
spiral model,IT
spiral reinforcement,Architecture
spirit level,Architecture
splay analysis,IT
splay tree,IT
splay tree amortization,IT
split-brain,IT
split-horizon DNS,IT
SPMD,IT
spoil heap,Architecture
spot height,Architecture
spot level,Architecture
spotlight,Architecture
spotter,Architecture
spray foam,Architecture
spread footing,Architecture
sprinkler head,Architecture
SPT blow count,Architecture
spyware,IT
SQL,IT
SQL injection,IT
SQRT,IT
square,Architecture
SRE,IT
SRE practice,IT
SRP,IT
SRv6,IT
ss,IT
SSA form,IT
SSH,IT
SSTable,IT
stability,Architecture
stack,IT
stack frame,IT
staging,Architecture
staging area,Architecture
stainless steel door,Architecture
stair detail,Architecture
stair layout,Architecture
stair nosing,Architecture
stair schedule,Architecture
stakeholder analysis,IT
stakeholder viewpoint,IT
stamped concrete,Architecture
standard model,IT
standard penetration test,Architecture
standing seam roof,Architecture
standpipe,Architecture
star schema,IT
startup probe,IT
starvation,IT
stat,IT
state explosion,IT
state explosion problem,IT
state machine,IT
state machine diagram,IT
state machine replication,IT
state pattern,IT
state-based CRDT,IT
stateful firewall,IT
stateful inspection,IT
stateful service,IT
stateful set,IT
stateless firewall,IT
stateless service,IT
statement coverage,IT
statement of work,IT
static adversary,IT
static analysis,IT
static linking,IT
static load,Architecture
static single assignment,IT
station,Architecture
stationary distribution,IT
statistics histogram,IT
steal/no-steal,IT
steam curing,Architecture
steel door,Architecture
steel fiber,Architecture
steel pipe,Architecture
steel square,Architecture
steel trowel finish,Architecture
steel-toe boot,Architecture
steering committee,IT
step ladder,Architecture
sticky session (concept),IT
stiffener,Architecture
stiffness,Architecture
stirrups,Architecture
stochastic gradient descent,IT
stockpile,Architecture
stone,Architecture
stone column,Architecture
stop-the-world,IT
storage capacity,IT
storage container,Architecture
storage engine,IT
storage tank,Architecture
stored procedure,IT
story points,IT
STP,IT
straightedge,Architecture
strain,Architecture
strainer,Architecture
strap footing,Architecture
strategy pattern,IT
stratified sampling,IT
stream cipher,IT
stream processing,IT
strength reduction,IT
stress,Architecture
Strict-Transport-Security,IT
string line,Architecture
string literal,IT
string matching,IT
STRING_AGG,IT
strip footing,Architecture
striping,IT
strobe,Architecture
strong consistency,IT
strong entity,IT
strong scaling,IT
structural hazard,IT
structural plan,Architecture
structural steel beam,Architecture
structural steel column,Architecture
structural steel connection,Architecture
structural steel core,Architecture
structural steel footing,Architecture
structural steel foundation,Architecture
structural steel frame,Architecture
structural steel girder,Architecture
structural steel joint,Architecture
structural steel pile,Architecture
structural steel slab,Architecture
structural steel stair,Architecture
structural steel truss,Architecture
structural steel wall,Architecture
stucco,Architecture
stud shear connector,Architecture
sub distribution board,Architecture
subcontractor,Architecture
subexponential variable,IT
subfloor,Architecture
subgaussian variable,IT
subgrade,Architecture
subgrade reaction,Architecture
submersible pump,Architecture
submodularity,IT
subnetting,IT
subschema,IT
subsoil,Architecture
SUBSTRING,IT
subtyping,IT
succinct argument,IT
suffix array,IT
suffix tree,IT
SUM,IT
sump pump,Architecture
superblock,IT
superkey,IT
supernetting,IT
superplasticizer,Architecture
superscalar,IT
supply chain management,IT
supply chain security,IT
support,Architecture
support vector machine,IT
surcharge,Architecture
surface-mounted light,Architecture
surge protection,Architecture
Suricata rule,IT
surrogate key,IT
survey adjustment,Architecture
survey data,Architecture
survey plan,Architecture
survey plat,Architecture
surveying,Architecture
surveys,Architecture
suspended ceiling,Architecture
suspended scaffold,Architecture
swap space,IT
Swift,IT
switchboard,Architecture
Switching Protocols,IT
SWOT analysis,IT
symbol,Architecture
symbolic execution,IT
symbolic link,IT
symbolic testing,IT
symmetric encryption,IT
synchronization,IT
synchronous replication,IT
syntax tree,IT
synthetic fiber,Architecture
synthetic monitoring,IT
system call,IT
system test,IT
system testing,IT
systemctl,IT
systemd,IT
systems programming,IT
T-beam,Architecture
t-closeness,IT
t-SNE,IT
T-SQL,IT
TABLE,IT
table scan,IT
table-level lock,IT
tablespace,IT
tabletop exercise,IT
TACACS+,IT
tactic,IT
tactics techniques and procedures,IT
tactics techniques procedures,IT
tag,Architecture
tail,IT
tail call optimization,IT
tail latency,IT
tail latency mitigation,IT
tail recursion,IT
taint analysis,IT
tap mode,IT
tape measure,Architecture
tape surveying,Architecture
Tapestry,IT
tar,IT
target state,IT
Tarjan’s algorithm,IT
task,IT
task mining,IT
task parallelism,IT
TCL,IT
TCP,IT
TCP Fast Open,IT
TCP/IP stack,IT
tcpdump,IT
technical architecture,IT
technical debt,IT
tee,Architecture
telemetry,IT
Telnet,IT
temperature sensor,Architecture
tempered glass,Architecture
template method,IT
templating,IT
temporal database,IT
temporal logic,IT
temporary benchmark,Architecture
temporary fence,Architecture
Temporary Redirect,IT
tenant isolation,IT
tendon,Architecture
tendons,Architecture
tensile strength,Architecture
Terraform,IT
terrazzo,Architecture
terrestrial laser scanner,Architecture
test case,IT
test double,IT
test effectiveness,IT
test harness,IT
test oracle,IT
test pit,Architecture
test plan,IT
test stub,IT
test-driven development,IT
testability,IT
testing and commissioning,Architecture
text,IT
texture mapping,IT
TF-IDF,IT
THEN,IT
theodolite,Architecture
theorem prover,IT
theorem proving,IT
thermal cracking,Architecture
thermal design power,IT
thermal insulation,Architecture
thermal throttling,IT
thermostat,Architecture
theta join,IT
third normal form,IT
thrashing,IT
thread,IT
thread pool,IT
thread safety,IT
thread sanitizer,IT
thread-level parallelism,IT
thread-local storage,IT
thread-safe,IT
threat hunting,IT
threat intelligence,IT
threat modeling,IT
threat surface,IT
three-phase commit,IT
three-way handshake,IT
threshold,Architecture
threshold signature,IT
thresholding,IT
throttling,IT
throughput,IT
tie column,Architecture
tie line,Architecture
tie rod,Architecture
tieback,Architecture
ties,Architecture
TIG welding,Architecture
tile cutter,Architecture
timber beam,Architecture
timber column,Architecture
timber connection,Architecture
timber core,Architecture
timber footing,Architecture
timber foundation,Architecture
timber frame,Architecture
timber girder,Architecture
timber joint,Architecture
timber pile,Architecture
timber slab,Architecture
timber stair,Architecture
timber truss,Architecture
timber wall,Architecture
time,IT
time slice,IT
time synchronization,IT
time to live,IT
time-based one-time password,IT
time-of-check time-of-use,IT
time-of-check to time-of-use,IT
time-series database,IT
time-sharing,IT
time-travel query,IT
timed automata,IT
timeline analysis,IT
timestamp,IT
timestamp ordering,IT
timestamptz,IT
timing diagram,IT
timing fault,IT
TIN model,Architecture
tipper truck,Architecture
title block,Architecture
title sheet,Architecture
TLA+ (specification),IT
TLB,IT
TLB shootdown,IT
TLS,IT
TLS handshake,IT
TLS_AES_128_GCM_SHA256,IT
TLS_AES_256_GCM_SHA384,IT
TLS_CHACHA20_POLY1305_SHA256,IT
TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384,IT
TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,IT
tmux,IT
TO_CHAR,IT
TO_DATE,IT
TO_TIMESTAMP,IT
toe board,Architecture
token bucket,IT
token ring,IT
token ring mutual exclusion,IT
tokenization,IT
Too Early,IT
Too Many Requests,IT
tool shed,Architecture
toolbox,Architecture
toolbox talk,Architecture
top,IT
topcoat,Architecture
topographic map,Architecture
topographic network,Architecture
topographic survey,Architecture
topological sort,IT
topsoil,Architecture
torch,Architecture
total correctness,IT
total cost of ownership,IT
total order broadcast,IT
total ordering,IT
total station,Architecture
total station calibration,Architecture
total station setup,Architecture
total station survey,Architecture
total stress,Architecture
touch,IT
tower crane,Architecture
TPM,IT
tr,IT
TRACE,IT
trace id,IT
traceability,IT
traceability matrix,IT
traceroute,IT
traces,IT
tracing,IT
tracing collector,IT
track light,Architecture
traffic,IT
traffic cone,Architecture
traffic shaping,IT
train–test split,IT
transaction,IT
transaction log,IT
transfer beam,Architecture
transfer slab,Architecture
transfer switch,Architecture
transfer wall,Architecture
Transfer-Encoding,IT
transformer model,IT
transistor,IT
transit mixer,Architecture
transition architecture,IT
translation lookaside buffer,IT
transparent huge pages,IT
transpiler,IT
transport layer,IT
trap,Both
trash pump,Architecture
traverse,Architecture
traverse network,Architecture
traverse survey,Architecture
treap,IT
tree traversal,IT
tremie,Architecture
trench,Architecture
trench box,Architecture
trench shield,Architecture
tri-color marking,IT
trial pit,Architecture
triangulation,Architecture
triaxial test,Architecture
tribrach,Architecture
trie,IT
trigger,IT
trilateration,Architecture
TRILL,IT
trim,Both
triple,IT
triple glazing,Architecture
triple store,IT
tripod,Architecture
trowel,Architecture
troweling,Architecture
truck crane,Architecture
truck mixer,Architecture
true north,Architecture
true positive,IT
TRUNCATE,IT
trunk-based development,IT
trunking,Architecture
truss,Architecture
trust boundary,IT
trusted platform module,IT
tsquery,IT
tsvector,IT
tube and coupler,Architecture
tunneling,IT
tuple relational calculus,IT
turbo code,IT
Turing machine,IT
two's complement,IT
two-phase commit,IT
Two-Phase Commit blocking,IT
two-phase locking,IT
two-way slab,Architecture
two-way switch,Architecture
two’s complement,IT
type confusion,IT
type inference,IT
type system,IT
Type-1 hypervisor,IT
Type-2 hypervisor,IT
typecasting,IT
TypeScript,IT
typical set,IT
ubiquitous computing,IT
ubiquitous language,IT
UCS,Architecture
UDP,IT
UEFI,IT
UFS,IT
ulimit,IT
ultimate bearing capacity,Architecture
ultimate limit state,Architecture
ultimate strength,Architecture
ultrasonic pulse velocity,Architecture
UMAP,IT
umask,IT
UML,IT
umount,IT
Unauthorized,IT
Unavailable For Legal Reasons,IT
unconfined compression test,Architecture
undefined behavior,IT
undefined behavior sanitizer,IT
undercoat,Architecture
underfitting,IT
underground tank,Architecture
underwater concrete,Architecture
undo log,IT
unicast,IT
uniform soil,Architecture
union,Both
UNION ALL,IT
union–find,IT
uniq,IT
UNIQUE,IT
unit of work pattern,IT
unit rate,Architecture
unit test,IT
unit testing,IT
universal hashing,IT
Unprocessable Entity,IT
Unsupported Media Type,IT
unzip,IT
UPDATE,IT
Upgrade,IT
Upgrade Required,IT
uplift,Architecture
UPPER,IT
upright sprinkler,Architecture
UPS,Architecture
uptime,IT
uPVC frame,Architecture
URI Too Long,IT
usability,IT
usability engineering,IT
use case,IT
use-after-free,IT
use-case diagram,IT
use-case points,IT
user mode,IT
user space,IT
user story,IT
User-Agent,IT
user-defined function,IT
UTF-16,IT
UTF-32,IT
UTF-8,IT
UTM coordinate,Architecture
uuid,IT
V-model,IT
validation,IT
validation phase,IT
validation plan,IT
value chain,IT
value iteration,IT
value proposition,IT
value stream,IT
valve,Architecture
valves,Architecture
van Emde Boas tree,IT
vapor barrier,Architecture
varchar,IT
variable air volume,Architecture
variance,IT
variation order,Architecture
Vary,IT
Vault,IT
VAV box,Architecture
VC dimension,IT
vector,IT
vector clock,IT
vector clock synchronization,IT
vector commitment,IT
vector processor,IT
vector timestamp,IT
vectorization,IT
vendor management,IT
vent pipe,Architecture
verifiable delay function,IT
verification,IT
verification plan,IT
version control,IT
vertical angle,Architecture
vertical control,Architecture
vertical distance,Architecture
vertical scaling,IT
Via,IT
vibration,Architecture
vibro compaction,Architecture
victim cache,IT
view,IT
view change,IT
view maintenance,IT
view materialization,IT
view serializability,IT
viewpoint,IT
viewport,Architecture
viewstamped replication,IT
vinyl flooring,Architecture
virtual address,IT
virtual machine,IT
virtual memory,IT
virtualization,IT
viscosity modifier,Architecture
vise,Architecture
vishing,IT
vision glass,Architecture
visitor pattern,IT
VLAN,IT
VLSM,IT
vmstat,IT
void ratio,Architecture
voided slab,Architecture
volatile data,IT
volatile variable,IT
volume batching,Architecture
volume calculation,Architecture
volume control damper,Architecture
VP-tree index,IT
vulnerability,IT
vulnerability disclosure,IT
VXLAN,IT
waffle slab,Architecture
wait,IT
wait queue,IT
wait-free,IT
waitpid,IT
walkthrough,Architecture
wall detail,Architecture
wall layout,Architecture
wall schedule,Architecture
wall tile,Architecture
walls,Architecture
warm data,IT
Warning,IT
warning sign,Architecture
warranty,Architecture
waste pipe,Architecture
water curing,Architecture
water meter,Architecture
water pump,Architecture
water supply,Architecture
water table,Architecture
water-cement ratio,Architecture
waterfall model,IT
waterproofing membrane,Architecture
waveform,IT
weak entity,IT
weak scaling,IT
weaponization,IT
wear leveling,IT
weathered rock,Architecture
web application firewall,IT
webhook,IT
WebRTC,IT
weigh batching,Architecture
weighted quorum,IT
welded connection,Architecture
welded wire fabric,Architecture
welded wire mesh,Architecture
welding machine,Architecture
well-graded soil,Architecture
wellpoint system,Architecture
wget,IT
whaling,IT
wheel loader,Architecture
WHEN,IT
WHERE,IT
whitelisting,IT
wide-column store,IT
wideband Delphi,IT
wind load,Architecture
window frame,Architecture
window function,IT
window hardware,Architecture
window scaling,IT
window schedule,Architecture
window tag,Architecture
wiper,IT
wireless access point,IT
wireless antenna,IT
WITH,IT
WMI persistence,IT
word length,IT
work breakdown structure,IT
work glove,Architecture
work platform,Architecture
work stealing,IT
work stealing scheduler,IT
workability,Architecture
workbench,Architecture
workflow automation,IT
working drawing,Architecture
working set,IT
workload characterization,IT
worst-case execution time,IT
wrapper function,IT
WRED,IT
write,IT
write amplification,IT
write amplification (distributed),IT
write barrier,IT
write buffer,IT
write quorum,IT
write skew,IT
write-ahead logging,IT
write-allocate,IT
write-back,IT
write-through,IT
WSDL,IT
WWW-Authenticate,IT
X,IT
X-Content-Type-Options,IT
X-Frame-Options,IT
X.509 certificate,IT
xargs,IT
XFS,IT
XGBoost (algorithm),IT
xml,IT
XML Schema,IT
XREF,Architecture
xz,IT
YAML,IT
Yao’s minimax principle,IT
YARA rule,IT
Yarn,IT
yield strength,Architecture
z-buffer,IT
Zab protocol,IT
Zeek script,IT
zenith angle,Architecture
zero trust architecture,IT
zero-copy I/O,IT
zero-day vulnerability,IT
zero-knowledge proof,IT
ZFS,IT
Zigbee,IT
zip,IT
zk-SNARK,IT
zk-STARK,IT
zombie process,IT
zoning map,Architecture
zstd compression,IT
Θ notation,IT
Θ(n),IT
Ω notation,IT
Ω(n),IT
