Word,Chinese,Definition,Synonyms,Usage,Reference
grandpa,n.爷爷,,,"They just ran out last week, Grandpa.",Guess Who 2005-English
grandson,n.孙子,,,They've got my grandson. They\Npick them up and take them away.,The Pianist 2002
granger,"n.农夫,农民,农民协进会会员",,,"- Night, Granger!",The Quiet American 2002
granite,,,,,
granny,n.奶奶,,,to call me Granny from now on.,Spirited Away 2001
granola,n.格兰诺拉麦片(源出商标名),,,with Miss Granola Suicide and her spawn.,About a Boy 2002-English
grant,"or electric bulb. a paper lantern.
the flat area between the waist and knees of a seated person. come and sit on my lap.
of considerable or relatively great size, extent, or capacity.
add a large clove of garlic.
to a great extent; on the whole; mostly. he was soon
arrested, largely through the efforts of Tom Poole. a device that generates an intense beam of coherent monochromatic light.
coming after all others in time or order;
final. they caught the last bus.
(of a process, activity, or state of things) continue for a specified period of time. the guitar solo lasted for twenty minutes.
doing something or taking place after the expected,
proper, or usual time. his late arrival.
recently; not long ago.
she hasn't been looking too well lately.
latest adj.最近；最新  of most recent date.
the angular distance of a place north or south of the earth's equator. at a latitude of 51° N.",,,"Wellington I grant you, hmm,",Vanity Fair 2004
grape,"n.葡萄,葡萄树",,,- Some grape juice?,The Notebook 2004
grapefruit,*grapefruit n.葡萄柚；guilt n.犯罪 it is the duty of the prosecution to prove the prisoner's guilt.,,,- Eggs and grapefruit.,Requiem for a Dre
grapeshot,n.葡萄弹,,,And there was grapeshot...,Pirates of the Caribbean The Curse of the Black Pearl 2003
graph,"n.图表,曲线图",,,"Take a look at the next graph, and the",Big Fish 2003
graphic,"adj.绘画似的,图解的",,,"Wow, this is graphic.",The 40 Year Old Virgin 2005
graphics,"Common Gateway Interface,公共网关接口;Computer Graphics Interface,计算机图形接口",,,,
graphite,n.石墨,,,"It's a problem with the graphite, Sir.",Batman Begins 2005
graphql,,,,,
grapple,v.格斗,,,"Gas-powered, magnetic grapple gun.",Batman Begins 2005
grasp,"*grim adj.嚴厲的 forbidding or uninviting.
his grim expression.
grin v./n.露齒而笑smile broadly, especially in an unrestrained manner.
Dennis appeared, grinning cheerfully.",,,a very precise grasp of the matter.,Vanity Fair 2004
grasped,"guilty adj.有罪的；內疚的he was found guilty of murder.
guitar n.吉他 a stringed musical instrument.",,,that my peers just intuitively grasped.,Hitch 2005
grass,"gear n./v.齒輪
*gear n.汽車之排檔",,,He's as green as this grass...,Vanity Fair 2004
grasshopper,,,,,
grasshoppers,*cricket n.蟋蟀；country n.國家；鄉下,,,,
grassland,mercy n.慈悲,,,,
grate,"gum n.樹脂；口香糖  chewing gum.
gun n.槍；砲  a weapon incorporating a metal tube.",,,under a grate where the vats are.,Enemy at the Gates 2001
grated,,,,,
grateful,"gum n.樹脂；口香糖  chewing gum.
gun n.槍；砲  a weapon incorporating a metal tube.",,,your loving and grateful son.,Vanity Fair 2004
grater,"gum n.樹脂；口香糖  chewing gum.
gun n.槍；砲  a weapon incorporating a metal tube.",,,,
gratification,n.满意,,,the scramble for his own gratification.,Batman Begins 2005
gratitude,guy n.傢伙；朋友,,,It wasn't just gratitude.,Sin City 2005-English
gratuitous,"adj.免费的,无理由的",,,"the dress off thing was gratuitous.""",Pirates of the Caribbean The Curse of the Black Pearl 2003
grave,*monitor n.級長；miracle n.奇蹟,,,I made a grave mistake.,Vanity Fair 2004
gravedigger,"n.挖墓者,一种甲虫",,,- Master Gravedigger.,Kingdom of Heaven 2005
gravel,,,,,
gravely,adv.严峻地,,,...who is gravely ill.,21 Grams-English
gravestone,"n.墓石,墓碑",,,and a gravestone.,Cast Away 2000
graveyard,n.墓地,,,"The place is a graveyard,",Vanity Fair 2004
gravitational,,,,,
gravity,"n.地心引力,重力",,,"the gravity of these crimes,",Catch Me If You Can 2002
gravy,"n.肉汁,不法利润,肉汤",,,"Good gravy, Marie.",Kill Bill Vol 1 2003
gray,"n.灰色,暗淡,灰暗adj.灰色的,灰白的,老的,老练的,阴沉的,<美俚>广告商的,广告业的 v.(使)变灰色",,,"the dull, gray years",Sin City 2005-English
graz,"convey (a thought or feeling) in words or by gestures and
conduct. he expressed complete satisfaction.
expression n.表情；表示 she accepted his expressions of sympathy.
extend v.延伸  the Forest Service plans to extend a gravel road nearly a mile.
a part that is added to something to enlarge or
prolong it; a continuation.
the railroad's southern extension.",,,,
gre,,,,,
grease,habitual adj.習慣的,,,"Sorry, I've got grease on my hands.",The Aviator 2004-English
greasy,*hail v.冰雹；招呼,,,It's kinda greasy.,Million Dollar Baby 2004
great,"*cumulative adj.累積的 the cumulative effect of two years of drought.
*cunning adj.狡猾的；奸詐的 a cunning look came into his eyes；*dash v.猛衝
*data n.資料",,,Take this copy of the great,Vanity Fair 2004
greater,adj.包括市区及郊区的,,,to do a greater good.,Kingdom of Heaven 2005
greatest,"adj.最好的,最伟大的",,,This could be our greatest,Spider Man 2 2004 Extended
greatly,"adv.很,非常",,,...a man greatly feared,Batman Begins 2005
greatness,haircut n.理髮,,,All greatness comes from loss.,Alexander 2004-English
greaves,n.脂渣,,,"your greaves, your helmet.",Troy 2004
greece,n.希腊,,,Everyone in Greece knows this.,Troy 2004
greed,"n.贪欲,贪婪",,,but it was motivated not by greed...,Batman Begins 2005
greedily,"adv.贪食地,贪婪地",,,The dwarves delved too greedily and too deep.,The Lord of the Rings The Fellowship of the Ring
greedy,"adj.贪吃的,贪婪的,渴望的",,,You're greedy?,Pirates of the Caribbean The Curse of the Black Pearl 2003
greek,"adj.希腊的,希腊人的,希腊语的n.希腊人,希腊语",,,are ancient Greek to my sisters.,Vanity Fair 2004
green,"n.绿色,绿色颜料,绿色物品adj.绿色的,未成熟的,新鲜的,精力旺盛的,无经验的,青春的",,,"Yes, Miss Green.",Vanity Fair 2004
greenback,"n.美钞,背部为绿色之动物",,,"Mucho U.S. greenback, da?",Tomb Raider 2001
greener,n.生手,,,"looking for jobs, for greener grass.",The Green Mile 1999
greenhorn,"n.生手,缺乏经验的人,不懂世故的人",,,Think this greenhorn,Training Day-English
greenhouse,"n.温室,花房",,,"the greenhouse gases,",A I Artificial Intelligence-English
greenpeace,"n.(保护动物不遭捕猎等的)""绿色和平""组织",,,Greenpeace or something? No.,Collateral 2004
greenwood,"n.绿林,未枯干的树",,,"Eudora from out of Greenwood,","O Brother, Where Art Thou -English"
greet,"vt.问候,向...致意,获悉(消息),映入眼帘",,,"and-greet, no shopping, no Lion King.",The Interpreter 2005-English
greeted,,,,Why haven't you greeted us?,The Pianist 2002
greeting,"n.祝贺,问候",,,them a little greeting.,The Incredibles 2004
greg,n.格雷格(Gregory的昵称)(m.),,,with Greg Brady.,The Pacifier 2005-English
grenade,n.手榴弹,,,- The grenade launchers are here.,Mr and Mrs Smith 2005
grenadier,"n.手榴弹兵,[军]精锐部队的士兵",,,Ben Kidney tait grenadier de la Garde.,From Hell 2001
grep,,,,,
greta,n.格里塔(Margaret的昵称)(f.),,,- This one's Greta.,Love Actually-English
gretchen,n.格雷琴(Margaret的昵称)(f.),,,That's Gretchen Wieners.,Mean Girls 2004
grew,vbl.grow的过去式,,,that grew upon,Spider Man 2 2004 Extended
grey,"adj.灰色的,灰白的n.灰色",,,"Tonight, Grey Goose martini, dirty.",Hitch 2005
grid,"n.格子,栅格",,,Power's on the city grid.,Mr and Mrs Smith 2005
grief,"n.悲痛,伤心事,不幸,忧伤",,,to end grief is to save a life.,The Interpreter 2005-English
grieve,"v.(使)悲痛,(使)伤心,忧伤",,,"My lord, there will be a time to grieve for Boromir...",The Lord of the Rings The Return of the King
grieved,governor n.州長  the elected executive head of a state of the US..；grieve v.使悲傷,,,,
grievous,adj.令人忧伤的,,,I was gonna do a grievous wrong.,Cold Mountain-English
griffith,n.格里菲思(Griffin的异体)(m.),,,"In Griffith Park last night,",Be Cool 2005-English
grill,*grill v.烤；gown n.長禮服,,,- Should I check the grill to see if there's any children or small animals? - I didn't kill anybody!,Eternal Sunshine of the Spotless Mind 2004
grille,,,,,
grilled,"adj.烤的,有格子的,炙过的",,,Otherwise have it grilled.,The Constant Gardener 2005-English
grim,adj.严酷的,,,and the Winstons are looking grim.,Mystic River 2003
grin,"n.露齿笑,裂口笑v.露齿而笑",,,He had this fucking goddamn grin,Mystic River 2003
grind,grind v.磨；壓,,,This is a ship of war. I will grind whatever,Master and Commander The Far Side of the World-English
grinder,"n.磨工,尤指磨刀具的工人,研磨者,<美俚>脱衣舞女演员",,,"I'll get an organ grinder,",Ray 2004
grinding,forward adj./v.向前；今後 forward(s) adv.向前；今後,,,against the grinding windmills,Amelie 2001
gringo,n.[敌意或轻蔑用语]外国佬,,,and Gringo as well.,City of God 2002
grinning,,,,grinning like an idiot.,About a Boy 2002-English
grip,"vt.紧握,紧夹n.掌握,控制,把手v.抓住",,,"Man, look at this here. I like this, man. Nice, solid, strong grip.",Guess Who 2005-English
gripe,"n.紧握,柄,把手,控制,苦恼vt.抓紧,抱住,激怒,使苦恼,使肠痛vi.肠痛,抱怨",,,I got no gripe with you.,Sin City 2005-English
grist,"n.谷物,尤指磨成粉用(或已磨成粉的)谷物",,,grist the mill requires to fulfil my duty.,Master and Commander The Far Side of the World-English
grizzly,"adj.略灰色的,呈灰色的n.灰熊",,,Than A Grizzly Bear.,Lilo and Stitch 2002
groan,"n.呻吟,叹息vi.呻吟,受折磨,受压迫发出嘎吱声vt.呻吟着说",,,[Both groan],Reign of Fire 2002-English
groaned,,,,,
grocer,"n.食品商,杂货店",,,"ask Collignon, the grocer.",Amelie 2001
grocer's,,,,,
grocery,"n.<美>食品杂货店,(pl.)食品,杂货",,,with your grocery list...,Memento 2000
grog,n.掺水烈酒vi.饮掺水烈酒,,,There's enough water in the grog.,Master and Commander The Far Side of the World-English
groggy,"adj.酒醉的,东歪西倒的,摇摇晃晃的,头昏眼花的",,,me too groggy to take care of my kids.,Erin Brockovich 2000
groom,"n.马夫,新郎,男仆vt.喂马,推荐,整饰vi.修饰",,,Only the groom had changed.,Big Fish 2003
groove,"n.(唱片等的) 凹槽,惯例,最佳状态vt.开槽于",,,"A cool groove, like a club experience.",Collateral 2004
groovy,"adj.很帅的,常规的,槽的",,,"I feel groovy, baby.",Ray 2004
grope,v.n.摸索,,,Last gasp. Last grope.,Almost Famous-English
groping,"adj.探索的,暗中摸索的",,,GUARD SPOTTED HIM GROPING,Constantine 2005
gross,"adj.总的,毛重的n.总额",,,- Gross weight?,The Aviator 2004-English
grossly,"adv.非常,粗,很",,,which have been grossly abused,About a Boy 2002-English
grotesque,"adj.奇形怪状的,奇异n.奇形怪状的人(或物、图案等),奇异风格",,,into a grotesque funfair.,Spider Man 2 2004 Extended
groth,,,,,
ground,garbage n.垃圾；give v.給,,,...to keep those planes on the ground.,The Aviator 2004-English
grounded,,,,has grounded the whole fleet.,The Aviator 2004-English
groundhog,n.(美国产的)土拨鼠,,,"If a groundhog nested, they'd know.",Oceans Eleven 2001
grounding,"n.[电]接地,基础,(染色的)底色",,,an emotional grounding.,Pirates of the Caribbean The Curse of the Black Pearl 2003
groundwater,n.地下水,,,flowing into the groundwater.,Erin Brockovich 2000
group,*denomination n.教派；decorate v.裝飾,,,"Besides, I don't do group jobs.",Sin City 2005-English
grouper,n.[动]鲶科鱼,,,GROUPER: Turn around!,Finding Nemo 2003
groups,dwell v.居住；educational adj.有教育意義的 children with special educational,,,in small groups.,Spider Man 2 2004 Extended
grouting,,,,,
grove,*grove n.樹叢；grain n.穀粒；穀物wheat or any other cultivated cereal crop used as food.,,,out of the Cocoanut Grove?,The Aviator 2004-English
grovel,"vi.趴,匍匐,卑躬屈膝,五体投地的",,,grovel with respect for Macedonia.,Alexander 2004-English
groveling,"adj.匍匐的,卑躬屈节的",,,"None of this scraping, groveling.",Alexander 2004-English
grow,garbage n.垃圾；give v.給,,,When I grow up...,The Aviator 2004-English
growing,adj.成长的,,,"Growing a beard, boss?",Million Dollar Baby 2004
growl,"v.咆哮,发牢骚地说n.咆哮声,怨言",,,- (Gentle growl),Love Actually-English
grown,"half adj./adv./n.二分之一的parts into which something is or can be
divided. two and a half years.",,,and play something a little more grown up?,Vanity Fair 2004
growth,*eclipse n.(日、月)蝕,,,very healthy growth in these sectors.,Batman Begins 2005
grpc,,,,,
gru,,,,,
grudge,v.不给予,,,the motive was a personal grudge.,Oldboy 2003
gruesome,"adj.可怕的,可憎的,令人厌恶的",,,and gruesome death.,The Last Samurai 2003
grumble,,,,,
grumbling,"adj.喃喃鸣不平的,出怨言的",,,(GRUMBLING),Lilo and Stitch 2002
grumpy,"adj.脾气坏的,性情乖戾的,脾气暴躁的",,,"Hey, Mr. Grumpy Gills...",Finding Nemo 2003
grunt,"vi.(猪等)作呼噜声,(表示烦恼、反对、疲劳、轻蔑等)发哼声vt.咕哝着说出n.呼噜声,咕哝",,,I'm gonna make him hug me till I grunt.,Cold Mountain-English
guarantee,*gold n./adj.黃金,,,"- How many women? - I guarantee you, large numbers.",Guess Who 2005-English
guaranteed,dense adj.密集的；稠密的 closely compacted in substance.,,,...cannot exactly be guaranteed,The Aviator 2004-English
guarantor,n.[律]保证人,,,but they say I need a guarantor.,2046 2004
guard,faculty n.能力；feed v./n.餵食,,,but be on your guard!,Spider Man 2 2004 Extended
guarded,flight n.航程；飛機 an eagle in flight.；fort n.堡壘,,,She said people who are guarded,Hitch 2005
guardian,"n.护卫者,保护人,监护人adj.守护的",,,"But my guardian says,",Vanity Fair 2004
guardians,*guardian n.監護人；granddaughter n.孫女；外孫女 a daughter of one's son or daughter.,,,,
guardianship,"n.保护,守护,监护人的职责",,,Sylvia has requested a co-guardianship,Finding Neverland 2004-English
guardrail,,,,,
guardsman,"n.卫兵,近卫兵,州辖预备役部队成员",,,GUARDSMAN:,War of the Worlds 2005-English
guatemala,"n.危地马拉(拉丁美洲),危地马拉人",,,to the Guatemala sound.,The Notebook 2004
guava,,,,,
guerilla,"n.游击队,非正规军队adj.游击的",,,"Guerilla fighters, if you will.",Pirates of the Caribbean The Curse of the Black Pearl 2003
guerrilla,"n.[古]游击战,游击队",,,turned into a hard guerrilla war,Alexander 2004-English
guerrillas,"*hypocrisy n.虛偽 she was irritated to be accused of hypocrisy.
the story tells of respectable person who turns out
to be a cheat and a hypocrite.
a proposed explanation made on the basis of limited evidence as a starting point for further investigation. deriving from or affected by
uncontrolled extreme emotion.",,,,
guess,"vt.猜测,推测,猜中,猜对,想,认为vi.猜,推测n.猜测,推测",,,Can you guess?,Vanity Fair 2004
guessed,,,,"Oh, I should have guessed that",Vanity Fair 2004
guesstimate,"n.依推测的估计,瞎猜v.估计",,,I'd guesstimate,Kill Bill Vol 1 2003
guesswork,"n.臆测,猜测,凭猜测所作之工作",,,Sixteen pages of inspired guesswork.,The Constant Gardener 2005-English
guest,discussion n.討論,,,you are the guest ofhonor.,Vanity Fair 2004
guests,"*hypocrisy n.虛偽 she was irritated to be accused of hypocrisy.
the story tells of respectable person who turns out
to be a cheat and a hypocrite.
a proposed explanation made on the basis of limited evidence as a starting point for further investigation. deriving from or affected by
uncontrolled extreme emotion.",,,I see Pitt's intended is among the guests.,Vanity Fair 2004
guff,"n.<美俚> 胡说,瞎扯,废话",,,to learn all this airplane guff?,The Aviator 2004-English
guidance,"n.指导,领导",,,have specific guidance,Hotel Rwanda 2004-English
guide,"n.领路人,导游者,向导,引导者,指南vt.指导,支配,管理,带领,操纵vi.任向导",,,or what hand will guide us there.,Kingdom of Heaven 2005
guided,,,,"Next group, after guided meditation,",Fight Club 1999
guideline,n.方针,,,being more like a guideline.,Pirates of the Caribbean The Curse of the Black Pearl 2003
guidelines,,,,,
guido,"n.<美>太空飞行工程师,导航控制中心负责人",,,Guido helped me with them.,The Constant Gardener 2005-English
guild,"n.(中世纪的)行会,同业公会,协会,行业协会",,,the Writers' Guild of America.,Pirates of the Caribbean The Curse of the Black Pearl 2003
guile,"n.狡诈,诡计",,,"Because with no guile and no game,",Hitch 2005
guillotine,"n.断头台,(切纸的)闸刀v.处斩刑,切(纸)",,,- Want to see a guillotine in Piccadilly?,Master and Commander The Far Side of the World-English
guilt,"n.罪行,内疚",,,Is how they expiate their guilt.,The Constant Gardener 2005-English
guiltless,"adj.无罪的,无辜的",,,We are the guiltless pleasures,A I Artificial Intelligence-English
guilty,"adj.犯罪的,有罪的,心虚的",,,She is feeling guilty!,Spider Man 2 2004 Extended
guinea,"n.几内亚 几尼(英国的旧金币,值一镑一先令)",,,African guinea pigs.,The Constant Gardener 2005-English
guinness,"n.英国产强性黑啤酒之一种,其商标名",,,You could use a Guinness,Minority Report 2002
guise,"n.外观,姿态,装束,伪装v.伪装",,,wrapped up in the guise,Frida [2002]
guitar,"n.吉他,六弦琴vi.弹吉他",,,- A guitar.,Ray 2004
guitarist,n.吉他弹奏者,,,almost killed my guitarist!,Almost Famous-English
gulf,"n.海湾,深渊,漩涡,隔阂vt.吞没,使深深卷入",,,and sail up the gulf to Egypt.,Alexander 2004-English
gull,"n.[动] 鸥,易受骗之人,笨人vt.欺诈,骗,使上当",,,GULL: Mine?,Finding Nemo 2003
gully,"n.冲沟,溪谷,集水沟,雨水口,檐槽vt.在...上开沟(或槽),水流冲成(沟渠)",,,"fall back to the gully, Father.",Alexander 2004-English
gum,"n.齿龈,树脂,橡胶,橡胶树,口香糖,香口胶,泡泡糖",,,Get rid of that gum.,Mr and Mrs Smith 2005
gumbo,"n.[植]秋葵,加有秋葵的浓汤,[地]坚硬黏土",,,"the cilantro crawfish gumbo,",American Psycho-English
gun,lazy adj.懶散的,,,you had the gun.,Spider Man 2 2004 Extended
gunboat,"n.炮舰,炮艇",,,Gunboat Liberty! An ironclad berth now,Gangs of New York 2002
gunfight,n.&vi.(两人之间的)用枪格斗,,,Gunfight at the K.O. Corral?,Black Hawk Down 2001
gunfire,n.炮火,,,- 'The gunfire around us...',The Interpreter 2005-English
gunmen,"n.枪手,持枪的歹徒,制造枪械者",,,"and armed gunmen is underway,",The Incredibles 2004
gunner,"n.炮手,炮长,带枪猎人,管理军械(库)的准尉",,,assisting the 60 gunner.,Black Hawk Down 2001
gunnery,"n.[总]重炮,炮术,射击,射击学,枪炮操作",,,Damn fine gunnery.,Master and Commander The Far Side of the World-English
gunning,"n.射击,用枪打猎,用枪搜索捕杀",,,and come gunning for us.,Sin City 2005-English
gunshot,"n.火炮的单发,射击,炮击,射程",,,[gunshot],Sin City 2005-English
gurgle,"n.(流水的)汩汩声,欢乐的(咯咯声),(人发)咯咯声,汩汩地流vi.(流水)作汩汩声",,,GURGLE: She wouldn't stop,Finding Nemo 2003
guru,"n.[印度教](个人的)宗教老师(或指导),(受下属崇敬的)领袖,头头",,,Estelio guru lîn ne dagor.,The Lord of the Rings The Two Towers 2002 EXTENDED
gus,n.格斯(Augustus的昵称)(m.),,,and l am Gus.,My Big Fat Greek Wedding 2002
gush,v.涌出,,,you'll gush all over her.,Frida [2002]
gusset,,,,,
gust,"n.阵风,一阵狂风,(雨、冰雹、烟、火、声音等的)突然一阵,(感情的)迸发,汹涌",,,- (gust of wind),Finding Neverland 2004-English
gustafson,,,,,
gustafson's,,,,,
gustation,"n.尝味,味觉",,,speech during gustation.,"O Brother, Where Art Thou -English"
gustav,V 即 Gustavus V,,,Load the Gustav!,War of the Worlds 2005-English
gut,"n.[复]内脏,(幽门到直肠间的)肠子,勇气,剧情,内容,肚子,内脏,海峡vt.取出内脏,摧毁(房屋等的)内部装置",,,it creeps into my gut and tells me,Sin City 2005-English
guts,"v.狼吞虎咽,贪婪地吃  飞碟游戏(比赛双方每组5人,相距15码,互相掷接飞碟)",,,Put the sex and guts and blood,The Aviator 2004-English
gutter,"n.水槽,檐槽,排水沟,槽,贫民区vt.开沟于vi.流n.装订线",,,begs in the gutter.,Kingdom of Heaven 2005
gutters,,,,,
guy,*difficulty n.困難；destruction n.破壞,,,"Every night, the lucky guy escorts",The Aviator 2004-English
gwen,n.格温(Gwendolyn的昵称)(f.),,,"- Well, Gwen, I'm just hoping you can tell me.",Mr and Mrs Smith 2005
gym,"gymnasium 体育;n.体育馆,体操",,,those gym shoes of yours.,The Aviator 2004-English
gymnasium,"gymnasium 体育;n.体育馆,体操",,,All junior girls report to the gymnasium,Mean Girls 2004
gymnastics,,,,,
gypsum,,,,,
gypsy,"n.吉普赛人,吉普赛语adj.象吉普赛人的vi.流浪",,,- What's a gypsy?,Big Fish 2003
gyro,"[海][空]陀螺仪,回转仪",,,The gyro forces are too much.,The Aviator 2004-English
gzip,,,,,
ha,"int.嘿!,哈!",,,Ya-ha! Rawdy!,Vanity Fair 2004
habit,"n.习惯,习性",,,It's a habit.,2046 2004
habitat,"n.(动植物的)生活环境,产地、栖息地,居留地,自生地,聚集处",,,Ego sum qui intus habitat.,The Exorcism of Emily Rose
habitation,,,,,
habitats,,,,,
habitual,habitual adj.習慣的,,,,
habitually,*despairing adj.絕望的；diet n.飲食；特種飲食,,,,
hack,v.砍n.出租,,,"After that, we went hack",2046 2004
hacker,电脑黑客,,,Dr. Hacker?,Ray 2004
hacky,,,,- Wrap it around the top of his Hacky Sack.,Fight Club 1999
had,correct adj./v.正確的；更正 right；cover n./v.封面；遮蓋,,,but nor had you.,Vanity Fair 2004
hades,"n.冥府,地狱,阎王",,,who by Hades would know.,Alexander 2004-English
hadn't,,,,if you hadn't parted in charity.,Vanity Fair 2004
hadoop,,,,,
haemostat,"n.(=hemostat][医)止血器,止血药",,,Give me another haemostat.,Pearl Harbor 2001
hag,"n.女巫,丑婆,魔女,沼地,砍伐vt.砍,劈",,,Some hag trophy wife,The Island 2005
haggis,"n.<苏>将羊的心,肺,肝等内脏和燕麦粉煮成的食物",,,or I'll make haggis out of you.,Finding Neverland 2004-English
hague,"n.海牙(荷兰的中央政府所在地,在荷兰西部)",,,Court in The Hague.,The Interpreter 2005-English
hah,"int.嘿,哈",,,- Hyah! Hah!,Kingdom of Heaven 2005
hail,*hail v.冰雹；招呼,,,"Go in the stall, say five Hail Marys,",Dawn of the Dead 2004-English
hailed,*hail v.冰雹；招呼,,,,
hair,crystal adj./n.水晶的；dance n./v.舞蹈,,,and probably not too much hair.,Vanity Fair 2004
hairball,n.(动物在胃或肠积成的)毛团,,,Or will it just be a death hairball?,Fight Club 1999
haircut,haircut n.理髮,,,Let's give this Samurai a haircut.,The Last Samurai 2003
hairdo,"n.<美>(好)发型 ,发式",,,"that hairdo must have taken hours,",Mean Girls 2004
hairdresser,"n.(为女子做发的)理发师,美容师",,,sic my hairdresser on you.,American Psycho-English
hairline,极细的织物,,,- My hairline is so weird.,Mean Girls 2004
hairs,haircut n.理髮,,,♪ The hairs on your arm will stand up,Dawn of the Dead 2004-English
hairstyle,,,,,
hairy,"adj.多毛的,毛似的",,,small and hairy.,Sin City 2005-English
hal,"n.Henry的昵称;Hardware Abstract Layer,硬件抽象层",,,Joe Adams. Hal Ziegler hired Joe ...,Ray 2004
halcyon,"n.(相传冬至时能使海平面平静的)翠鸟adj.翠鸟的,平静的,太平的",,,Or Halcyon?,American Psycho-English
hale,"adj.强壮的,健壮的(尤指老人),矍铄的vt.<古>强拉,硬拖",,,"Oh! He's hale and hearty, Tammy.",Sin City 2005-English
half,"*monetary adj.貨幣的 money n.錢
monitor n./v.監視器；監控",,,"I will take her, half cash down",Vanity Fair 2004
halfling,"n.半成年人,半便士的银币",,,did you give the Halfling...,The Lord of the Rings The Return of the King
halflings,"adv.一半,部分地",,,Halflings!,The Lord of the Rings The Two Towers 2002 EXTENDED
halfway,*halfway adj./adv.半路；greet v.問候 give a polite word or sign of welcome to (someone) on meeting. some of the customers greeted the barman in Gaelic.,,,"I remember walking halfway,",Million Dollar Baby 2004
hall,"so. we are standing on a historic site.
of or concerning history.
歷史的’the historical background to such studies.
the study of past events, particularly in human affairs.",,,"Well, what about the study hall?",Vanity Fair 2004
hallow,"vt.使...神圣,视为神圣",,,"""We cannot hallow this ground.""",Minority Report 2002
hallowed,"adj.神圣化的,神圣的",,,was working at Hallowed Grounds.,Dawn of the Dead 2004-English
halloween,"n.万圣节前夕,诸圣日前夕",,,We're having a Halloween party,Mean Girls 2004
hallucination,"n.幻觉,幻想",,,a daylight hallucination.,Donnie Darko
hallucinogen,n.迷幻剂,,,"It was some kind of hallucinogen,",Batman Begins 2005
hallway,n.走廊,,,Don't go down the hallway!,Magnolia-English
halo,"n.(日月周围的)晕轮,光环,荣光vt.使有晕轮,围以光环vi.成晕轮",,,Don't put that halo on me! Sarah!,Minority Report 2002
halstead,,,,,
halt,"n.停止,暂停,中断vt.使停止,使立定vi.立定,停止,踌躇,有缺点",,,Halt!,Kingdom of Heaven 2005
halted,,,,,
halve,"vt.二等分,平分,分享,减半",,,Dollar and a halve?,Gangs of New York 2002
halves,"一学期,同分数",,,the two halves of the triangle.,Tomb Raider 2001
ham,"n.火腿,大腿的后部,大腿及臀部,笨拙的演员adj.过火的,做作的v.演得过火",,,"Is good to see you, Ham.",The Constant Gardener 2005-English
hama,哈马[叙利亚西部城市],,,- Hama?,The Lord of the Rings The Two Towers 2002 EXTENDED
hamburg,"n.(=hamburger)碎牛肉,牛肉饼",,,Saya akan kembali ke Hamburg malam ini.,Downfall 2004
hamburger,"n.(=hamburger)碎牛肉,牛肉饼",,,- How 'bout a hamburger with a lot of cheese?,Flight of the Phoenix 2004-English
hame,n.颈轭(驾车时附加在马颈上),,,"Away hame, WiIIiam.",Braveheart 1995
hamiltonian,,,,,
hamlet,"n.小村,部落n.哈姆雷特(Hamlet,莎士比亚著名悲剧剧名)",,,"on Hamlet, but l gave fair warning.",My Big Fat Greek Wedding 2002
hammer,"n.铁锤,槌,锤子v.锤击,锤打",,,and thumbing back the hammer.,Sin City 2005-English
hammered,"adj.锤成的,铸打成的",,,- I'm fucking hammered.,Magnolia-English
hammerhead,"n.锤头adj.锤头状的,鲁钝的",,,a roll or a hammerhead and,Pearl Harbor 2001
hammering,"n.锤打,锤打的声音",,,[Hammering],Kingdom of Heaven 2005
hammersmith,n.锻匠,,,"Mr. Hammersmith, your office said",The Green Mile 1999
hamming,,,,,
hammock,n.吊床,,,"hammock with the last stitch in your nose,",Master and Commander The Far Side of the World-English
hammond,哈蒙德[美国印第安纳州西北部城市],,,with Lon Hammond.,The Notebook 2004
hampshire,n.汉普郡(英国南部之一郡),,,gentlemen of Hampshire.,Vanity Fair 2004
hamster,n.东欧或亚洲产的大颊的鼠类,,,"- Well, at least get me a hamster.",21 Grams-English
hand,December n.十二月,,,and he squeezed my hand.,Vanity Fair 2004
handbag,n.手提包,,,emptying her handbag,Amelie 2001
handbook,,,,,
handcuff,n.手拷v.上手拷,,,Handcuff this son of a bitch.,Ray 2004
handcuffs,n.手铐,,,I need a pair of handcuffs.,Sin City 2005-English
handed,"the school takes a maximum of 32 students.
May n.五月the fifth month of the year, the last month of spring. the new model makes its showroom debut in May.
maybe adv.可能 the fifth month of the year, the last month of spring.
the new model makes its showroom debut in May.
mayor n.市長；鎮長the elected head of a city, town, or other municipality.",,,Then I handed the rifle to my brother,The Interpreter 2005-English
handful,"n.一把,少数",,,by a handful of brave men...,The Last Samurai 2003
handgun,n.手枪,,,the destructive force of any handgun.,X Men 2000
handicap,heal v.治癒,,,of someone's handicap.,Memento 2000
handkerchief,n.手帕,,,"to fold a pocket handkerchief, please?",Finding Neverland 2004-English
handle,*cup n./v.杯子；date n.椰棗；棗椰樹,,,handle the attention and publicity...,Hitch 2005
handled,"adj.有把手的,有把柄的",,,You handled me. You manipulated me.,Hitch 2005
handler,,,,,
handlers,"n.操作者,陶器工人,经理人",,,- Baggage handlers.,Fight Club 1999
handles,,,,My company handles her finances.,Hitch 2005
handling,n.处理adj.操作的,,,handling this enormous crowd...,The Aviator 2004-English
handoff,n.{美橄}手递手传球,,,They're making a ground-to-air handoff,Mr and Mrs Smith 2005
handover,n.移交,,,“Hong Kong Handover Ceremony“,Oldboy 2003
